제품코드,정식제품명,규격,단위
398,Mirror Cannula 17G*70mm (범용카테타캐뉼라),30G*30mm,BOX
418,3M 소독테이프(인디케이터) 스팀용 1인치,1322-24mm,롤
322,포비딘4L/10%,4L/10%,EA
424,2-WAY SYRINGE MIXING TUBE,BOX/100EA,BOX
422,STERI STRIP 1542 1/4-11/2IN,1542,BOX
432,신성)접은거즈30*30,PK/200EA,PK
442,신신)면반창고,BOX/10매입,EA
430,한국백신)롱니들23G*60mm,BOX/100EA,EA
444,"한국백신) 50CC주사기 (18G*1"")",BOX/50EA,
462,용창) NEEDLE(메조니들) 33g 4mm # 샤프니들,BOX/50EA,EA
427,네오 드레싱 6*7 / 50매,BOX/50EA,EA
448,붕산 100g,100g,box
449,대한) 접은거즈(3*3*8p),3*3*3p,BOX
469,"[3M]종이테입 2"" 1530-2",2in,box
472,네오 드레싱 I.V 6*7 / 50매,6 * 7,BOX
476,그린)과산화수소4L,4L,EA
479,"SURGICAL BLADE, ＃15 블레이드 (Kiato)",15번 블레이드,BOX/100EA
480,나눔)NEEDLE(나노니들)33G*4mm,33G*4mm,box/100ea
489,디메트(55*80cm)10S/PK,55*80cm,10S/PK
290,헥시타놀0.5%액 1L,1L,
504,그린헥시딘액5% 500ml,500ml,EA
495,퍼슨 실그린크림 120G,120G,
508,CLINICAL SHEET(m) 450*350mm,,
514,"KNEE BAND#무릎보호대, K.C / Medium",,M
519,(신흥)DENTAL NEDDLE 30G-L 25mm,30G-L 25mm,
520,NYLON 5/0 NK517P 50cm,50cm,
531,마스크(BANDTYPPE) 대한,(Band type),BOX
537,한국백신)롱니들23G*100mm,,
561,[CK덴탈]DENTAL NEEDLE 27G-L 30mm (덴탈마취니들),,
554,"요통대 9"" (XL)",,
555,"요통대 9"" (XXL)",,
578,Mirror Cannula 22G*50mm (범용카테타캐뉼라),,
602,Mirror Cannula 23G*70mm (범용카테타캐뉼라),,
604,BLUE NYLON 4-0 50cm (21mm 3/8),,
605,한창) COTTON BALL 1호 # 코튼볼1호 슬라이스,코튼볼1호,
632,"수성)소독테잎 1/2""",12mm*50m,
643,"KNEE BAND#무릎보호대, K.C / Large",L,EA
